id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kode_kelurahan_desa;nama_kelurahan_desa;koperasi;no badan hukum;tanggal badan hukum;email;website;aktif;ketua;bentuk koperasi;jenis koperasi;kelompok koperasi;sektor usaha;klasifikasi;kesehatan;anggota pria;anggota wanita;tahun ind usaha;tahun
61;15;JAMBI;1501;150105;-;-;Koperasi Keluarga Sepakat;400/Kep.219/VI.6/2012;11/05/2012;-;-;TRUE;"INDRA GUNAWAN			";Primer Kabupaten/Kota;Simpan Pinjam;Kop. Simpan Pinjam;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;2023
62;15;JAMBI;1501;150105;-;-;Koperasi Maju Jaya Indah;400/Kep.310/VI.6/2011;18/07/2011;-;-;TRUE;"SYAMSAR			";Primer Kabupaten/Kota;Simpan Pinjam;Kop. Simpan Pinjam;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;2023
63;15;JAMBI;1501;150105;1501232012;KOTO BARU SEMERAP;Koperasi Wanita Ijung Tabajo;400/Kep.332/VI.6/2012;22/06/2012;-;-;FALSE;"DASWATI			";Primer Kabupaten/Kota;Konsumen;Kop. Wanita;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;2023
64;15;JAMBI;1501;150105;-;-;Koperasi Unit Utama;"356/BH/XV						";01/03/1979;-;-;TRUE;"DRS. AFRIZAL			";Primer Kabupaten/Kota;Produsen;KUD;JASA LAINNYA;-;-;0;0;-;2023
65;15;JAMBI;1501;150105;1501052014;BALAI;Koperasi Serba Usaha Jaya Bersama;26/BH/KWK.5/IX/1999;08/07/1999;-;-;TRUE;-;Primer Kabupaten/Kota;Konsumen;Kop. Serba Usaha;PENYEDIAAN AKOMODASI DAN MAKAN MINUM;-;-;0;0;-;2023
66;15;JAMBI;1501;150105;1501052022;AIR TENANG;Koperasi Pegawai Negeri Guru SD Air Hangat;05/BH/III.1/KOP.UKM/2005;25/11/2005;jairunspd74@gmail.com;-;TRUE;JAIRUN, SPD;Primer Kabupaten/Kota;Konsumen;Kop. Pegawai Negeri (KPRI);JASA KEUANGAN DAN ASURANSI;Berkualitas (B);Sehat;84;54;2020;2023
67;15;JAMBI;1501;150105;1501052022;AIR TENANG;Koperasi Arrahmah;400/Kep.246/VI.6/2012;09/08/2012;-;-;TRUE;HJ. MARNI;Primer Kabupaten/Kota;Konsumen;Kop. Lainnya;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;2023
68;15;JAMBI;1501;150105;1501052013;PASAR SEMURUP;Koperasi Wanita Bunga Mawar;400/Kep.14/IV/2010;02/02/2010;kopwanbungamawar@gmail.com;-;TRUE;MARSUSWITA;Primer Kabupaten/Kota;Konsumen;Kop. Wanita;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;2023
69;15;JAMBI;1501;150105;1501052013;PASAR SEMURUP;Koperasi Pondok pesantren Nurul Haq;56/BH/KWK.5/XII/96;02/12/1996;-;-;TRUE;DRS. TIMBANG;Primer Kabupaten/Kota;Konsumen;Koppontren;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;2023
70;15;JAMBI;1501;150105;-;-;Koperasi Mandiri Tuntas Bersama;009134/BH/M.KUKM.2/VII/2018;26/07/2018;koppasmtb@gmail.com;-;TRUE;-;Primer Kabupaten/Kota;Pemasaran;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;2023
71;15;JAMBI;1501;150105;1501052036;SAWAHAN KOTO MAJIDIN;Koperasi Tani Kasigi;400/Kep.19/IV.6/2016;02/02/2016;-;-;TRUE;MULYAR;Primer Kabupaten/Kota;Produsen;Kop. Pertanian;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;2023
72;15;JAMBI;1501;150105;1501052036;SAWAHAN KOTO MAJIDIN;Koperasi Produsen Parit Kembang Keladi;011342/BH/M.KUKM.2/XII/2018;21/12/2018;-;-;TRUE;-;Primer Kabupaten/Kota;Produsen;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;2023
73;15;JAMBI;1501;150105;1501052038;KOTO MAJIDIN DI AIR;Koperasi Wanita Muda Mandiri;400/Kep.13/VI.6/2013;29/01/2013;susilawati@gmail.com;-;TRUE;NURLIDAWATI;Primer Kabupaten/Kota;Konsumen;Kop. Wanita;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;2023
74;15;JAMBI;1501;150111;1501112023;TAMAN JERNIH SUNGAITUTUNG;Koperasi serba Usaha harapan;400/Kep.399/VI.6/2013;17/09/2013;-;-;TRUE;-;Primer Kabupaten/Kota;Produsen;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;2023
75;15;JAMBI;1501;150111;1501112003;KEMANTAN DARAT;Koperasi keluarga Sejahtera;400/Kep.307/VI.6/2014;25/06/2014;-;-;TRUE;-;Primer Kabupaten/Kota;Produsen;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;2023
76;15;JAMBI;1501;150111;1501112008;AIR HANGAT;Koperasi Unit Ihsan;893/BH/XV;01/06/1990;-;-;FALSE;"SULAIMAN			";Primer Kabupaten/Kota;Produsen;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;2023
77;15;JAMBI;1501;150111;1501112008;AIR HANGAT;Koperasi Wanita Tunas Harapan;400/Kep.29/VI.6/2013;29/05/2013;wirnawir18@gmail.com;-;TRUE;WIRNA,SPDI;Primer Kabupaten/Kota;Konsumen;Kop. Wanita;JASA KEUANGAN DAN ASURANSI;Cukup Berkualitas (CB);Belum Dinilai;0;32;2020;2023
78;15;JAMBI;1501;150111;1501112009;BARU SUNGAI TUTUNG;Koperasi Gabungan Kelompok Tani Sejahtera;400/Kep.201/VI.6/2016;05/04/2016;-;-;TRUE;POPO HARYONO;Primer Kabupaten/Kota;Konsumen;Kop. Pertanian;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;2023
79;15;JAMBI;1501;150111;1501112009;BARU SUNGAI TUTUNG;Koperasi Unit Tani Makmur;35/BH/PAD/KWK.5/II/96;05/02/1996;-;-;FALSE;-;Primer Kabupaten/Kota;Produsen;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;2023
80;15;JAMBI;1501;150111;1501112018;KEMANTAN AGUNG;Koperasi Sinar Pagi;400/Kep.472/VI.6/2013;02/12/2013;kasmadi-hamid@gmail.com;-;TRUE;MARLIS HASYIM;Primer Kabupaten/Kota;Konsumen;Kopkar;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;2023
81;15;JAMBI;1501;150111;1501112014;KEMANTAN HILIR;Koperasi Amanah;3/BH/KDK.55/II/99;15/02/1999;-;-;FALSE;-;Primer Kabupaten/Kota;Produsen;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;2023
82;15;JAMBI;1501;150111;1501112002;KEMANTAN KEBALAI;Koperasi Wanita Pinang Masak;400/Kep.357/VI.6/2012;11/09/2012;-;-;TRUE;HJ. SURYAWATI;Primer Kabupaten/Kota;Konsumen;Kop. Wanita;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;2023
83;15;JAMBI;1501;150111;1501112002;KEMANTAN KEBALAI;Koperasi Jaya Bhakti;400/Kep.210/VI.6/2013;12/04/2013;-;-;TRUE;SUPRIADI KARIM;Primer Kabupaten/Kota;Konsumen;Kop. Lainnya;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;2023
84;15;JAMBI;1501;150111;1501112002;KEMANTAN KEBALAI;Koperasi gapoktan Kinantan Utama;400/Kep.398/VI.6/2013;17/09/2013;-;-;TRUE;SATRIADI;Primer Kabupaten/Kota;Produsen;Kop. Pertanian;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;2023
85;15;JAMBI;1501;150111;1501112012;PUNGUT MUDIK;Koperasi Serba Usaha Suka Maju;583/BH/PAD/KWK.5/IX/96;30/09/1996;-;-;FALSE;-;Primer Kabupaten/Kota;Produsen;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;2023
86;15;JAMBI;1501;150111;1501112009;BARU SUNGAI TUTUNG;Koperasi Pegawai Negeri SMP N Sungai Tutung;875/XV/1989;29/09/1989;-;-;TRUE;IDIRMAN, SPD;Primer Kabupaten/Kota;Konsumen;Kop. Pegawai Negeri (KPRI);JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;2023
87;15;JAMBI;1501;150111;1501112009;BARU SUNGAI TUTUNG;Koperasi Sejahtera Bersama;400/Kep.356/VI.6;11/09/2012;-;-;TRUE;ERDAWATI;Primer Kabupaten/Kota;Konsumen;Kop. Pertanian;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;2023
