no;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kode_kelurahan_desa;nama_hotel;data
39;15;JAMBI;1571;157104;1571041004;Hotel Abadi Suite Tower;HOTEL BERBINTANG 
40;15;JAMBI;1571;157110;1571101005;Hotel Shang Ratu ;HOTEL BERBINTANG 
41;15;JAMBI;1571;157110;1571101002;Hotel Aston Jambi ;HOTEL BERBINTANG 
42;15;JAMBI;1571;157109;1571091003;PT. Putra Psp Rumah Kito Guest House;HOTEL BERBINTANG 
43;15;JAMBI;1571;157110;1571101005;Swiss-Bel Hotel ;HOTEL BERBINTANG 
44;15;JAMBI;1571;157104;1571041004;Hotel Abadi Grand;HOTEL BERBINTANG 
45;15;JAMBI;1571;157104;1571041004;Hotel Ceria ;HOTEL BERBINTANG 
46;15;JAMBI;1571;157107;1571071005;Hotel Cahaya Prima;HOTEL BERBINTANG 
47;15;JAMBI;1571;157104;1571041003;Hotel Grand Malioboro;HOTEL BERBINTANG 
48;15;JAMBI;1571;157104;1571041004;Hotel Ratu Permata Hotelindo;HOTEL BERBINTANG 
49;15;JAMBI;1571;157110;1571101005;Hotel Luminor ;HOTEL BERBINTANG 
50;15;JAMBI;1571;157108;1571081004;Hotel Matahari I;HOTEL BERBINTANG 
51;15;JAMBI;1571;157109;1571091001;Hotel Harvest Golden;HOTEL BERBINTANG 
52;15;JAMBI;1571;157104;1571041003;Hotel Wiltop;HOTEL BERBINTANG 
53;15;JAMBI;1571;157102;1508131001;Hotel Cosmo;HOTEL BERBINTANG 
54;15;JAMBI;1571;157101;1571011001;Hotel Grand;HOTEL BERBINTANG 
55;15;JAMBI;1571;157107;1571071005;Hotel Royal Garden ;HOTEL BERBINTANG 
56;15;JAMBI;1571;157104;1571041003;Hotel Duta ;HOTEL BERBINTANG 
57;15;JAMBI;1571;157104;1571041003;Hotel Infinity ;HOTEL BERBINTANG 
58;15;JAMBI;1571;157104;1571041004;Hotel Pundi Rezeki;HOTEL BERBINTANG 
59;15;JAMBI;1571;157110;1571101004;Hotel Marisa;HOTEL BERBINTANG 
60;15;JAMBI;1571;157102;1571021003;Hotel Safera ;HOTEL BERBINTANG 
61;15;JAMBI;1571;157108;1503092004;Hotel Harisman Sentosa ;HOTEL BERBINTANG 
62;15;JAMBI;1571;157104;1571041004;Hotel Jambi Raya ;HOTEL BERBINTANG 
63;15;JAMBI;1571;157102;1571021003;Hotel Pundi Rezeki Thehok ;HOTEL BERBINTANG 
64;15;JAMBI;1571;157104;1571041001;Octopuss Hotel Dan Spa ;HOTEL BERBINTANG 
65;15;JAMBI;1571;157111;1571111005;Hotel Mj's;HOTEL BERBINTANG 
66;15;JAMBI;1571;157109;1571091001;V Hotel ;HOTEL BERBINTANG 
